iter	Passed	Remaining
0	138	138267
1	138	69336
2	139	46359
3	140	34863
4	140	27969
5	141	23371
6	141	20080
7	142	17614
8	142	15695
9	143	14162
10	143	12906
11	144	11860
12	144	10977
13	145	10218
14	145	9560
15	146	8986
16	146	8477
17	147	8025
18	147	7621
19	148	7258
20	148	6931
21	149	6631
22	149	6358
23	150	6106
24	150	5875
25	151	5662
26	151	5464
27	152	5282
28	152	5111
29	153	4951
30	153	4802
31	154	4661
32	154	4530
33	155	4407
34	155	4290
35	156	4179
36	156	4075
37	157	3977
38	157	3883
39	158	3794
40	158	3709
41	159	3629
42	159	3553
43	160	3480
44	160	3409
45	161	3342
46	161	3277
47	162	3215
48	162	3156
49	163	3099
50	163	3044
51	164	2991
52	164	2940
53	165	2892
54	165	2845
55	166	2800
56	166	2757
57	167	2714
58	167	2673
59	168	2633
60	168	2595
61	169	2558
62	169	2522
63	170	2487
64	170	2453
65	171	2420
66	171	2388
67	171	2354
68	172	2324
69	172	2295
70	173	2267
71	173	2239
72	174	2212
73	174	2187
74	175	2162
75	175	2137
76	176	2114
77	176	2091
78	177	2068
79	177	2046
80	178	2024
81	178	2003
82	179	1983
83	179	1962
84	180	1940
85	180	1921
86	181	1901
87	181	1883
88	182	1865
89	182	1847
90	183	1829
91	183	1813
92	184	1797
93	184	1780
94	185	1764
95	185	1748
96	186	1733
97	186	1717
98	187	1702
99	187	1688
100	188	1674
101	188	1658
102	188	1645
103	189	1632
104	190	1619
105	190	1607
106	191	1595
107	191	1583
108	192	1571
109	192	1559
110	193	1547
111	193	1536
112	194	1524
113	194	1513
114	195	1502
115	195	1490
116	196	1480
117	196	1470
118	197	1459
119	197	1449
120	198	1439
121	198	1430
122	198	1418
123	199	1409
124	199	1399
125	200	1390
126	200	1381
127	201	1371
128	201	1362
129	202	1353
130	202	1345
131	203	1336
132	203	1328
133	204	1319
134	204	1311
135	205	1304
136	205	1296
137	206	1288
138	206	1280
139	207	1273
140	207	1265
141	208	1258
142	208	1251
143	209	1244
144	209	1237
145	210	1230
146	210	1223
147	211	1216
148	211	1210
149	212	1203
150	212	1196
151	213	1190
152	213	1183
153	214	1177
154	214	1171
155	215	1165
156	215	1159
157	216	1153
158	216	1147
159	217	1141
160	217	1135
161	218	1130
162	219	1124
163	219	1119
164	220	1114
165	220	1108
166	221	1103
167	221	1097
168	222	1092
169	222	1086
170	223	1081
171	223	1076
172	224	1071
173	224	1066
174	225	1060
175	225	1055
176	226	1050
177	226	1046
178	226	1041
179	227	1036
180	227	1030
181	228	1025
182	228	1021
183	229	1016
184	229	1011
185	230	1007
186	230	1002
187	231	998
188	231	993
189	232	989
190	232	985
191	233	981
192	233	977
193	234	974
194	235	970
195	235	967
196	236	963
197	237	960
198	237	956
199	238	953
200	238	949
201	239	946
202	239	942
203	240	938
204	240	934
205	241	930
206	241	926
207	242	922
208	242	918
209	243	914
210	243	911
211	244	907
212	244	903
213	245	899
214	245	896
215	245	892
216	246	889
217	246	885
218	247	882
219	247	878
220	248	875
221	248	871
222	249	868
223	249	864
224	250	861
225	250	858
226	251	855
227	251	851
228	252	848
229	252	845
230	252	842
231	253	838
232	253	835
233	254	832
234	254	829
235	255	826
236	255	823
237	256	820
238	256	817
239	257	814
240	257	811
241	257	808
242	258	805
243	258	802
244	259	799
245	259	796
246	260	793
247	260	790
248	261	787
249	261	784
250	262	782
251	262	779
252	262	776
253	263	773
254	263	771
255	264	768
256	264	765
257	265	763
258	265	760
259	266	757
260	266	755
261	267	752
262	267	750
263	268	747
264	268	745
265	269	743
266	269	740
267	270	738
268	270	735
269	271	733
270	271	730
271	272	728
272	272	726
273	273	724
274	274	722
275	274	720
276	275	718
277	276	717
278	276	715
279	277	713
280	278	711
281	278	709
282	279	707
283	279	704
284	280	702
285	280	700
286	280	698
287	281	695
288	282	693
289	282	691
290	283	689
291	283	687
292	283	685
293	284	683
294	284	680
295	285	678
296	285	676
297	286	674
298	286	672
299	287	670
300	287	668
301	288	666
302	288	664
303	289	662
304	289	660
305	290	658
306	290	656
307	291	654
308	291	652
309	292	650
310	292	648
311	293	646
312	293	644
313	294	642
314	294	641
315	295	639
316	295	637
317	296	635
318	296	633
319	297	631
320	297	629
321	298	628
322	298	626
323	299	624
324	299	622
325	300	621
326	300	619
327	301	617
328	302	615
329	302	614
330	303	612
331	303	611
332	304	609
333	304	607
334	305	606
335	305	604
336	306	603
337	307	601
338	307	599
339	308	598
340	308	596
341	309	595
342	309	593
343	310	592
344	311	590
345	311	588
346	312	587
347	312	585
348	313	584
349	313	582
350	314	581
351	314	579
352	315	577
353	315	576
354	316	574
355	316	573
356	317	571
357	318	570
358	318	568
359	319	567
360	319	565
361	320	564
362	320	562
363	321	561
364	321	560
365	322	558
366	323	557
367	323	555
368	324	554
369	324	552
370	325	551
371	325	549
372	326	548
373	326	547
374	327	545
375	327	544
376	328	542
377	328	541
378	329	539
379	329	538
380	330	536
381	330	535
382	331	534
383	332	532
384	332	531
385	333	529
386	333	528
387	334	526
388	334	525
389	335	523
390	335	522
391	335	521
392	336	519
393	336	518
394	337	516
395	338	515
396	338	514
397	339	512
398	339	511
399	340	510
400	340	508
401	341	507
402	341	506
403	342	504
404	342	503
405	343	502
406	343	500
407	344	499
408	344	498
409	345	496
410	345	495
411	346	494
412	346	492
413	347	491
414	347	490
415	348	489
416	348	487
417	349	486
418	349	485
419	350	483
420	350	482
421	351	481
422	351	480
423	352	478
424	352	477
425	353	476
426	353	474
427	354	473
428	354	472
429	355	471
430	355	469
431	356	468
432	356	467
433	357	466
434	357	464
435	358	463
436	359	462
437	359	461
438	360	460
439	360	458
440	361	457
441	361	456
442	362	455
443	362	454
444	363	452
445	363	451
446	364	450
447	364	449
448	365	448
449	365	446
450	366	445
451	366	444
452	367	443
453	367	442
454	368	441
455	368	439
456	369	438
457	369	437
458	370	436
459	370	435
460	371	434
461	371	432
462	372	431
463	372	430
464	373	429
465	373	428
466	374	427
467	374	425
468	375	424
469	375	423
470	376	422
471	376	421
472	377	420
473	377	419
474	378	418
475	378	416
476	379	415
477	379	414
478	380	413
479	380	412
480	381	411
481	381	410
482	382	409
483	382	407
484	383	406
485	383	405
486	384	404
487	384	403
488	385	402
489	385	401
490	386	400
491	386	399
492	387	398
493	387	397
494	388	396
495	388	394
496	389	393
497	389	392
498	390	391
499	390	390
